wiki_db	num_pages	max_length	max_media	max_cats	max_refs	max_headings	max_links	max_srcs	infobox	mbox
abwiki	6338	26.857028875138056	2.0	4.0	0.0372342005755415	0.5585130086331225	0.148936802302166	5	True	False
acewiki	13080	19.57166318941748	2.0	2.0	0.05109427800396167	0.05109427800396167	0.20437711201584668	5	True	False
adywiki	721	36.16628264005025	3.0	2.0	0.02765006318046655	0.13825031590233275	0.3041506949851321	5	False	False
afwiki	118417	75.91574276788707	5.0	5.0	0.14489748237901828	0.10537998718474056	0.6191074247103507	5	True	False
alswiki	30613	71.26570002462613	6.0	7.0	0.14031995751875675	0.15435195327063242	0.6595038003381567	5	True	False
altwiki	1108	72.96300432410933	8.0	4.0	0.579745864247841	0.30152267171282704	0.4385784315822939	5	True	False
amiwiki	1752	105.92992967051352	5.0	1.0	0.009440202623662823	0.10384222886029106	0.06608141836563976	5	False	False
amwiki	15954	38.953818811510565	2.0	2.0	0.025671424022347903	0.10268569608939161	0.43641420837991435	5	True	False
angwiki	4581	35.156791662493895	3.0	4.0	0.05688801239885743	0.11377602479771486	0.2844400619942871	5	True	False
anpwiki	2761	59.799665550904216	2.0	4.0	0.05016750465679883	0.26756002483626046	0.23411502173172788	5	False	False
anwiki	47127	50.12683911838045	4.0	8.0	0.11969635639363359	0.17954453459045036	1.4563056694558751	5	True	False
arcwiki	1969	19.493588689617926	2.0	2.0	0.0	0.10259783520851541	0.5129891760425771	5	False	False
arwiki	1239595	64.97691897897283	3.0	21.0	0.30780160577438576	0.12312064230975431	0.692553612992368	5	True	False
arywiki	10192	37.84772119956496	2.0	6.0	0.23779503005067187	0.18495169003941145	0.3963250500844531	5	True	False
arzwiki	1631321	17.378147196982766	2.0	8.0	0.6329788714132796	0.3452612025890616	0.6905224051781232	5	True	False
astwiki	136433	105.44856566117907	6.0	6.0	0.21811581651951722	0.1327661491857931	0.6638307459289655	5	True	False
aswiki	13857	81.60882305241263	5.0	5.0	0.3798608880818008	0.13724006279083079	0.3431001569771104	5	True	False
atjwiki	2070	35.77638886192959	2.0	2.0	0.02795139564977507	0.08385418694932521	0.16770837389865043	5	False	False
avkwiki	29445	18.627936010197157	18.0	3.0	0.0536828127095019	0.4294625016760152	0.6978765652235247	5	False	False
avwiki	3611	49.4368283772331	4.0	4.0	0.3843288621797991	0.20227834851568374	0.30341752277352557	5	True	False
awawiki	3717	31.29217154497271	2.0	3.0	0.09587062360592132	0.09587062360592132	0.15978437267653553	5	True	False
aywiki	5423	21.255587500702003	3.0	7.0	0.04704645307813643	0.7527432492501829	0.8938826084845922	5	False	False
azbwiki	243859	20.904544960366874	4.0	5.0	0.19134594929397594	0.19134594929397594	0.3826918985879519	5	True	False
azwiki	201445	74.2024258363566	4.0	5.0	0.20214972530790934	0.12128983518474559	0.5255892858005643	5	True	False
banwiki	24775	32.77193921634788	3.0	3.0	0.3051390988486767	0.24411127907894134	0.366166918618412	5	True	False
barwiki	27359	50.67050424063286	5.0	5.0	0.07894138927459865	0.1578827785491973	0.4539129883289422	5	True	False
bat_smgwiki	17307	24.657656011875904	2.0	2.0	0.0	0.12166606584807191	0.48666426339228763	5	True	False
bawiki	64094	78.96834808959854	5.0	10.0	0.25326602979345264	0.13929631638639894	0.49386875809723263	5	True	False
bbcwiki	868	135.8199175378928	4.0	3.0	0.04417614226813267	0.07104996214791322	0.07362690378022112	5	True	False
bclwiki	17741	60.00833275470999	4.0	5.0	0.2499652850099	0.19997222800792	0.26662963734389333	5	True	False
be_x_oldwiki	87415	66.37017402418047	4.0	8.0	0.2109381240269073	0.13560307973158325	0.6629483897988514	5	True	False
bewiki	243756	60.249481325568276	4.0	7.0	0.19917183909278766	0.13278122606185844	0.7468943965979538	5	True	False
bgwiki	299670	73.87827826905551	5.0	8.0	0.18950089698914935	0.12182200520731029	0.8662898148075399	5	True	False
bhwiki	8815	45.6836951220016	3.0	4.0	0.21889647878295043	0.13133788726977025	0.2626757745395405	5	True	False
biwiki	1592	18.69358178627092	2.0	2.0	0.053494296140423316	0.053494296140423316	0.21397718456169326	5	False	False
bjnwiki	10914	40.34848200366403	2.0	2.0	0.09913631941932192	0.09913631941932192	0.19827263883864385	5	True	False
blkwiki	3143	97.60993801862591	3.0	2.0	0.06146915080363109	0.07171400927090293	0.09220372620544663	5	True	False
bmwiki	1285	37.21290098877	2.0	1.0	0.026872401060636927	0.05374480212127385	0.16123440636382158	5	False	False
bnwiki	155270	79.4109564229016	5.0	16.0	0.36518890221597416	0.17629809072495303	0.5918578760051995	5	True	False
bowiki	12974	91.34850847167665	3.0	1.0	0.0	0.1094708623852417	0.04378834495409668	5	False	False
bpywiki	25230	24.474476501040833	1.0	2.0	0.0817177846445437	0.6537422771563496	0.24515335393363108	5	True	False
brwiki	87000	44.204072210600685	4.0	5.0	0.09048940063582536	0.24884585174851975	0.92751635651721	5	True	False
bswiki	94667	75.8485332752058	5.0	8.0	0.26368341135131507	0.1450258762432233	0.8306027457566425	5	True	False
bugwiki	15991	9.486832980505138	1.0	1.0	0.0	0.10540925533894598	0.21081851067789195	5	True	False
bxrwiki	2862	62.15705913249112	5.0	3.0	0.3539420993696921	0.1126179407085384	0.3539420993696921	5	True	False
cawiki	772528	84.303024856763	4.0	8.0	0.2372394114443872	0.1186197057221936	0.9133717340608908	5	True	False
cbk_zamwiki	3329	38.10774199555779	3.0	2.0	0.15744832114952964	0.10496554743301975	0.18368970800778459	5	False	False
cdowiki	16595	18.466185312619388	2.0	2.0	0.05415303610738823	0.21661214442955293	0.37907125275171766	5	True	False
