Aggregation	From	QID To	QID From
Norway	Jan Mayen	Q20	Q14056
Norway	Svalbard	Q20	Q25231
Norway	Svalbard and Jan Mayen	Q20	Q842829
South Korea	Sixth Republic of South Korea	Q423	Q488889
France	French Fifth Republic	Q142	Q200686
Australian Indian Ocean Territories	Christmas Island	Q4824275	Q31063
Australian Indian Ocean Territories	Cocos (Keeling) Islands	Q4824275	Q36004
Australia	Ashmore and Cartier Islands	Q408	Q133888
Australia	Coral Sea Islands	Q408	Q172216
Australia	Heard Island and McDonald Islands	Q408	Q131198
United States Minor Outlying Islands	Baker Island	Q16645	Q46879
United States Minor Outlying Islands	Howland Island	Q16645	Q131305
United States Minor Outlying Islands	Jarvis Island	Q16645	Q62218
United States Minor Outlying Islands	Johnston Atoll	Q16645	Q131008
United States Minor Outlying Islands	Kingman Reef	Q16645	Q130895
United States Minor Outlying Islands	Midway Atoll	Q16645	Q47863
United States Minor Outlying Islands	Palmyra Atoll	Q16645	Q123076
United States Minor Outlying Islands	Wake Island	Q16645	Q43296
United States Minor Outlying Islands	Navassa Island	Q16645	Q25359
British Indian Ocean Territory	Diego Garcia	Q43448	Q184851
British Indian Ocean Territory	Three Brothers Islands	Q43448	Q846717
British Indian Ocean Territory	Egmont Islands	Q43448	Q1298289
British Indian Ocean Territory	Nelson Island	Q43448	Q851483
British Indian Ocean Territory	Peros Banhos	Q43448	Q639185
British Indian Ocean Territory	Eagle Islands	Q43448	Q283491
British Indian Ocean Territory	Saloman Islands	Q43448	Q1585511
British Indian Ocean Territory	Danger Islands	Q43448	Q822031
Saint Helena, Ascension and Tristan da Cunha	Saint Helena	Q192184	Q34497
Saint Helena, Ascension and Tristan da Cunha	Ascension	Q192184	Q46197
Saint Helena, Ascension and Tristan da Cunha	Tristan da Cunha	Q192184	Q220982
Belgium	Flemish Brabant	Q31	Q1118
Belgium	Walloon Brabant	Q31	Q1122
Belgium	Brussels-Capital Region	Q31	Q240
Antigua and Barbuda	Barbuda	Q781	Q238752
Antigua and Barbuda	Antigua	Q781	Q316390
Bonaire, Saint Eustatius and Saba	Bonaire	Q27561	Q25396
Bonaire, Saint Eustatius and Saba	Sint Eustatius	Q27561	Q26180
Bonaire, Saint Eustatius and Saba	Saba	Q27561	Q25528
Palestine	West Bank	Q219060	Q36678
Palestine	Gaza Strip	Q219060	Q39760
Somalia	Puntland	Q1045	Q485112
Somalia	Somaliland	Q1045	Q34754
Serbia	Vojvodina	Q403	Q44749
Bosnia and Herzegovina	Federation of Bosnia and Herzegovina	Q225	Q11198
Bosnia and Herzegovnia	Republika Srpska	Q225	Q11196
Bosnia and Herzegovnia	Brčko District	Q225	Q194483
Russia	Baikonur	Q159	Q165413
Tanzania	Zanzibar	Q924	Q1774
Papau New Guinea	Bougainville	Q691	Q18826
Georgia	Adjara	Q230	Q45693
Western Sahara	Sahrawi Arab Democratic Republic	Q6250	Q40362
United Kingdom	England	Q145	Q21
United Kingdom	Scotland	Q145	Q22
United Kingdom	Wales	Q145	Q25
United Kingdom	Northern Ireland	Q145	Q26
Portugal	Madeira	Q45	Q26253
Portugal	Azores	Q45	Q25263
Antarctica	Antarctica	Q21590062	Q51
